GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
1171	"Albuquerque, NM Urbanized Area"	U	648924678	8948749	250.551	3.455	35.141344	-106.62889
1198	"Alderson, WV Urban Cluster"	C	3439408	92304	1.328	0.036	37.727925	-80.649268
1225	"Aledo, IL Urban Cluster"	C	5741921	30085	2.217	0.012	41.198542	-90.745194
1232	"Aledo, TX Urban Cluster"	C	12132664	173952	4.684	0.067	32.680947	-97.647372
1252	"Alexander City, AL Urban Cluster"	C	25158653	65442	9.714	0.025	32.939745	-85.957946
1279	"Alexandria, LA Urbanized Area"	U	169682382	905527	65.515	0.35	31.260637	-92.506129
1306	"Alexandria, MN Urban Cluster"	C	38477609	7450123	14.856	2.877	45.900999	-95.3683
1333	"Alfred, NY Urban Cluster"	C	3117022	0	1.203	0	42.256634	-77.784266
1360	"Algoma, WI Urban Cluster"	C	4753372	106286	1.835	0.041	44.607208	-87.444363
1387	"Algona, IA Urban Cluster"	C	6887318	16085	2.659	0.006	43.072716	-94.228677
1414	"Alice, TX Urban Cluster"	C	28161627	0	10.873	0	27.752403	-98.075018
1441	"Allegan, MI Urban Cluster"	C	12221347	147540	4.719	0.057	42.530023	-85.849978
1468	"Allendale, SC Urban Cluster"	C	5948740	0	2.297	0	33.008841	-81.311258
1495	"Allentown, PA--NJ Urbanized Area"	U	896697115	10529221	346.217	4.065	40.651118	-75.442163
1522	"Alliance, NE Urban Cluster"	C	12053041	31691	4.654	0.012	42.100596	-102.87402
1549	"Alliance, OH Urban Cluster"	C	45952611	276796	17.742	0.107	40.914526	-81.09674
1603	"Alma, GA Urban Cluster"	C	7398739	274038	2.857	0.106	31.541885	-82.469694
1630	"Alma--St. Louis, MI Urban Cluster"	C	19249735	406947	7.432	0.157	43.390767	-84.641478
1657	"Almont, MI Urban Cluster"	C	3793260	1570	1.465	0.001	42.921599	-83.039777
1684	"Alpena, MI Urban Cluster"	C	24506342	1830291	9.462	0.707	45.063072	-83.453033
1711	"Alpine, TX Urban Cluster"	C	10815927	335	4.176	0	30.358305	-103.664632
1738	"Altavista, VA Urban Cluster"	C	14411328	124082	5.564	0.048	37.113627	-79.294132
1765	"Alton, IL--MO Urbanized Area"	U	141982467	2001641	54.82	0.773	38.897792	-90.128014
1792	"Altoona, PA Urbanized Area"	U	96848719	168682	37.394	0.065	40.485263	-78.393865
1819	"Alturas, CA Urban Cluster"	C	4934765	16517	1.905	0.006	41.489183	-120.546287
1846	"Altus, OK Urban Cluster"	C	31472099	521227	12.151	0.201	34.652723	-99.310867
1873	"Alva, OK Urban Cluster"	C	6804489	0	2.627	0	36.801099	-98.664668
1900	"Alvarado, TX Urban Cluster"	C	7348450	19915	2.837	0.008	32.412303	-97.216677
1927	"Amarillo, TX Urbanized Area"	U	210825676	1121377	81.4	0.433	35.197528	-101.849137
1981	"American Falls, ID Urban Cluster"	C	3738387	0	1.443	0	42.78232	-112.853103
2008	"Americus, GA Urban Cluster"	C	31432870	138707	12.136	0.054	32.072568	-84.229191
2035	"Amery, WI Urban Cluster"	C	5343693	1111060	2.063	0.429	45.30657	-92.364724
2062	"Ames, IA Urbanized Area"	U	59823121	506395	23.098	0.196	42.031532	-93.633771
2116	"Amite City, LA Urban Cluster"	C	18158237	40581	7.011	0.016	30.733723	-90.5208
2143	"Amory, MS Urban Cluster"	C	14384773	27224	5.554	0.011	33.984789	-88.48001
2153	"Amouli, AS Urban Cluster"	C	12119244	0	4.679	0	-14.26556	-170.589772
2170	"Amsterdam, NY Urban Cluster"	C	26865927	773233	10.373	0.299	42.953164	-74.195042
2197	"Anaconda-Deer Lodge County, MT Urban Cluster"	C	6225281	0	2.404	0	46.131046	-112.957216
2224	"Anacortes, WA Urban Cluster"	C	24578382	590029	9.49	0.228	48.48661	-122.628592
2251	"Anadarko, OK Urban Cluster"	C	6280063	0	2.425	0	35.071385	-98.241229
2278	"Anamosa, IA Urban Cluster"	C	5458867	0	2.108	0	42.110072	-91.276045
2305	"Anchorage, AK Urbanized Area"	U	220066050	2653412	84.968	1.024	61.167916	-149.847166
2332	"Anchorage Northeast, AK Urban Cluster"	C	42348164	332989	16.351	0.129	61.329442	-149.535228
2359	"Andalusia, AL Urban Cluster"	C	14927107	32462	5.763	0.013	31.311564	-86.479556
2386	"Anderson, IN Urbanized Area"	U	171095305	752963	66.06	0.291	40.088751	-85.679816
2413	"Anderson, SC Urbanized Area"	U	191899842	3275947	74.093	1.265	34.520711	-82.660933
2440	"Andrews, SC Urban Cluster"	C	7781114	0	3.004	0	33.450931	-79.562021
2467	"Andrews, TX Urban Cluster"	C	16182936	30529	6.248	0.012	32.320646	-102.546505
2494	"Angels, CA Urban Cluster"	C	6902237	23589	2.665	0.009	38.074409	-120.551042
2548	"Angola, IN Urban Cluster"	C	23646539	3913804	9.13	1.511	41.661031	-85.016767
2575	"Anna, IL Urban Cluster"	C	10306980	47210	3.98	0.018	37.460138	-89.251143
2581	"Anna, TX Urban Cluster"	C	18087840	30010	6.984	0.012	33.379026	-96.56367
2590	"Annandale, MN Urban Cluster"	C	7049024	0	2.722	0	45.259981	-94.121617
2602	"Ann Arbor, MI Urbanized Area"	U	413247949	13618527	159.556	5.258	42.240003	-83.662679
2629	"Anniston--Oxford, AL Urbanized Area"	U	224747258	1384688	86.775	0.535	33.664398	-85.828795
2656	"Antigo, WI Urban Cluster"	C	10832104	84336	4.182	0.033	45.142639	-89.153197
2683	"Antioch, CA Urbanized Area"	U	210779099	878729	81.382	0.339	37.991687	-121.78212
2710	"Apalachicola, FL Urban Cluster"	C	7237011	15809621	2.794	6.104	29.751831	-84.909118
2764	"Appleton, WI Urbanized Area"	U	268742442	10791823	103.762	4.167	44.24668	-88.411096
2773	"Apple Valley, OH Urban Cluster"	C	12288354	2044219	4.745	0.789	40.438206	-82.34901
2791	"Arab, AL Urban Cluster"	C	21685740	301947	8.373	0.117	34.320987	-86.513807
2825	"Arbuckle, CA Urban Cluster"	C	1871310	0	0.723	0	39.016726	-122.060221
2845	"Arcade, NY Urban Cluster"	C	6117049	0	2.362	0	42.534572	-78.466924
2899	"Arcadia, LA Urban Cluster"	C	7054368	0	2.724	0	32.552383	-92.923763
2901	"Arcadia, WI Urban Cluster"	C	5461020	0	2.109	0	44.249706	-91.490908
2912	"Arcadia--Southeast Arcadia, FL Urban Cluster"	C	26228696	15770	10.127	0.006	27.213341	-81.852437
2926	"Arcata--McKinleyville, CA Urban Cluster"	C	42642041	312130	16.464	0.121	40.914605	-124.089324
2953	"Archbold, OH Urban Cluster"	C	9776705	37919	3.775	0.015	41.52504	-84.294163
2965	"Archer Lodge--Clayton, NC Urban Cluster"	C	52423952	440411	20.241	0.17	35.668587	-78.365739
2980	"Arcola, IL Urban Cluster"	C	3492690	44848	1.349	0.017	39.684596	-88.302758
3007	"Ardmore, OK Urban Cluster"	C	30232601	76559	11.673	0.03	34.178548	-97.14166
3034	"Arecibo, PR Urbanized Area"	U	217723168	1595321	84.063	0.616	18.454601	-66.807974
3088	"Arizona City, AZ Urban Cluster"	C	12090604	186302	4.668	0.072	32.749832	-111.673175
3115	"Arkadelphia, AR Urban Cluster"	C	15009213	0	5.795	0	34.124379	-93.067873
3142	"Arkansas City, KS Urban Cluster"	C	24905477	139934	9.616	0.054	37.060526	-97.034648
3158	"Arlington, TN Urban Cluster"	C	20160021	88142	7.784	0.034	35.279993	-89.662679
3196	"Arroyo Grande--Grover Beach, CA Urbanized Area"	U	59632310	233076	23.024	0.09	35.119408	-120.607531
3223	"Artesia, NM Urban Cluster"	C	16878293	16969	6.517	0.007	32.837488	-104.414485
3250	"Arvin, CA Urban Cluster"	C	11204963	0	4.326	0	35.203012	-118.832555
3277	"Ashburn, GA Urban Cluster"	C	8186916	104500	3.161	0.04	31.700815	-83.650095
3304	"Ashdown, AR Urban Cluster"	C	9267336	0	3.578	0	33.679719	-94.126102
3331	"Asheboro, NC Urban Cluster"	C	85270623	197576	32.923	0.076	35.731289	-79.804259
3358	"Asheville, NC Urbanized Area"	U	686048376	6264393	264.885	2.419	35.536428	-82.66557
3365	"Ashland, MO Urban Cluster"	C	4698394	0	1.814	0	38.771705	-92.259126
3375	"Ashland, NE Urban Cluster"	C	3232694	66446	1.248	0.026	41.040566	-96.366597
3385	"Ashland, OH Urban Cluster"	C	20684754	49269	7.986	0.019	40.863585	-82.316997
3395	"Ashland, PA Urban Cluster"	C	14644958	0	5.654	0	40.772142	-76.320872
3412	"Ashland, WI Urban Cluster"	C	11228921	0	4.336	0	46.578925	-90.881199
3439	"Ashland City, TN Urban Cluster"	C	8108090	0	3.131	0	36.276595	-87.051506
3466	"Ashtabula, OH Urban Cluster"	C	56333715	398481	21.751	0.154	41.877017	-80.78496
3493	"Ashville, OH Urban Cluster"	C	14310127	294356	5.525	0.114	39.718619	-82.967079
3520	"Aspen, CO Urban Cluster"	C	11838632	0	4.571	0	39.199278	-106.840283
3547	"Astoria, OR Urban Cluster"	C	23597662	1641779	9.111	0.634	46.17404	-123.835724
3601	"Atchison, KS--MO Urban Cluster"	C	15697690	160893	6.061	0.062	39.570588	-95.137251
3655	"Athens, AL Urban Cluster"	C	69999520	497611	27.027	0.192	34.811825	-86.952175
3682	"Athens, OH Urban Cluster"	C	25728992	260344	9.934	0.101	39.327239	-82.111599
3709	"Athens, TN Urban Cluster"	C	38475358	0	14.855	0	35.448026	-84.600178
3736	"Athens, TX Urban Cluster"	C	23895946	64685	9.226	0.025	32.201604	-95.847373
3763	"Athens-Clarke County, GA Urbanized Area"	U	254790538	2566976	98.375	0.991	33.942069	-83.398271
3790	"Athol, MA Urban Cluster"	C	24224213	1053681	9.353	0.407	42.573322	-72.296365
3817	"Atlanta, GA Urbanized Area"	U	6851226022	93474735	2645.273	36.091	33.824102	-84.331858
3844	"Atlanta, TX Urban Cluster"	C	19325597	101572	7.462	0.039	33.125525	-94.167911
3871	"Atlantic, IA Urban Cluster"	C	7301326	72792	2.819	0.028	41.40042	-95.007871
3898	"Atlantic City, NJ Urbanized Area"	U	324107408	11569524	125.139	4.467	39.371611	-74.590128
3925	"Atmore, AL Urban Cluster"	C	12255102	41413	4.732	0.016	31.021931	-87.487418
3957	"Atoka, TN Urban Cluster"	C	53344470	204782	20.596	0.079	35.42869	-89.803114
3979	"Attica, IN Urban Cluster"	C	10136997	85101	3.914	0.033	40.29083	-87.269893
4006	"Attica, NY Urban Cluster"	C	5826786	0	2.25	0	42.873714	-78.271755
4021	"Aubrey, TX Urban Cluster"	C	6098799	2579	2.355	0.001	33.288094	-96.989684
4033	"Auburn, AL Urbanized Area"	U	129340032	885274	49.938	0.342	32.614294	-85.443932
4054	"Auburn, IL Urban Cluster"	C	5214355	0	2.013	0	39.590007	-89.749542
4060	"Auburn, IN Urban Cluster"	C	30416616	0	11.744	0	41.369776	-85.070818
4087	"Auburn, NE Urban Cluster"	C	5204595	0	2.01	0	40.38848	-95.843424
4114	"Auburn, NY Urban Cluster"	C	33428835	239529	12.907	0.092	42.926811	-76.561994
4130	"Auburn--North Auburn, CA Urban Cluster"	C	69195065	261128	26.716	0.101	38.932512	-121.079665
4168	"Augusta, KS Urban Cluster"	C	10615015	686717	4.098	0.265	37.69194	-96.973193
4195	"Augusta, ME Urban Cluster"	C	44907267	724962	17.339	0.28	44.265179	-69.782239
4222	"Augusta-Richmond County, GA--SC Urbanized Area"	U	672695402	6773684	259.729	2.615	33.487951	-81.996378
4249	"Aumsville, OR Urban Cluster"	C	2979856	0	1.151	0	44.845016	-122.866978
4276	"Aurora, MO Urban Cluster"	C	15212085	39864	5.873	0.015	36.967117	-93.730413
4303	"Aurora, NE Urban Cluster"	C	5464065	14529	2.11	0.006	40.867831	-98.003674
4330	"Au Sable, MI Urban Cluster"	C	27111248	628627	10.468	0.243	44.45283	-83.346783
4357	"Austin, MN Urban Cluster"	C	31661237	254097	12.224	0.098	43.671232	-92.977883
4384	"Austin, TX Urbanized Area"	U	1356237255	11016802	523.646	4.254	30.358514	-97.761533
4411	"Ava, MO Urban Cluster"	C	5412263	1126	2.09	0	36.954458	-92.661589
4438	"Avalon, CA Urban Cluster"	C	3434614	0	1.326	0	33.341589	-118.328722
4465	"Avenal, CA Urban Cluster"	C	7912976	0	3.055	0	35.993168	-120.126356
4519	"Avon, NY Urban Cluster"	C	10087733	0	3.895	0	42.899102	-77.741633
4549	"Avondale--Goodyear, AZ Urbanized Area"	U	227196243	848649	87.721	0.328	33.472717	-112.399026
4573	"Avra Valley, AZ Urban Cluster"	C	10127104	0	3.91	0	32.42773	-111.326681
4587	"Aztec, NM Urban Cluster"	C	16350614	302610	6.313	0.117	36.833998	-107.996013
4600	"Bad Axe, MI Urban Cluster"	C	6458745	0	2.494	0	43.802432	-82.998022
4627	"Bainbridge, GA Urban Cluster"	C	26713204	650992	10.314	0.251	30.90486	-84.564687
4654	"Baker City, OR Urban Cluster"	C	13005425	178981	5.021	0.069	44.783476	-117.82877
4681	"Bakersfield, CA Urbanized Area"	U	358573245	2228337	138.446	0.86	35.362282	-119.030559
4708	"Bald Knob, AR Urban Cluster"	C	5870347	0	2.267	0	35.31222	-91.574197
4762	"Baldwin, WI Urban Cluster"	C	9571109	0	3.695	0	44.974871	-92.428348
4789	"Baldwin City, KS Urban Cluster"	C	5322580	4437	2.055	0.002	38.777506	-95.18748
4816	"Ballinger, TX Urban Cluster"	C	5224799	0	2.017	0	31.742188	-99.955786
4843	"Baltimore, MD Urbanized Area"	U	1856841318	65570196	716.93	25.317	39.234099	-76.64776
4870	"Baltimore, OH Urban Cluster"	C	6949115	0	2.683	0	39.843836	-82.587278
4897	"Bamberg, SC Urban Cluster"	C	7238005	0	2.795	0	33.29856	-81.029973
4924	"Bandon, OR Urban Cluster"	C	5707454	7562	2.204	0.003	43.113779	-124.415518
4951	"Bangor, ME Urbanized Area"	U	109957644	3813324	42.455	1.472	44.834066	-68.748807
5005	"Baraboo, WI Urban Cluster"	C	16100394	186972	6.216	0.072	43.46854	-89.748766
5032	"Barbourville, KY Urban Cluster"	C	13085659	158660	5.052	0.061	36.860165	-83.855348
5059	"Bardstown, KY Urban Cluster"	C	43999215	384160	16.988	0.148	37.835782	-85.466079
5086	"Bar Harbor, ME Urban Cluster"	C	4387702	0	1.694	0	44.392241	-68.221804
5113	"Barnesville, GA Urban Cluster"	C	14054298	102435	5.426	0.04	33.052313	-84.154709
5140	"Barnesville, OH Urban Cluster"	C	5154238	31354	1.99	0.012	39.988847	-81.172633
5167	"Barnstable Town, MA Urbanized Area"	U	718074013	58458895	277.25	22.571	41.625166	-70.576137
5194	"Barnwell, SC Urban Cluster"	C	9372803	40813	3.619	0.016	33.248668	-81.361338
5221	"Barre--Montpelier, VT Urban Cluster"	C	45889815	525495	17.718	0.203	44.198429	-72.517883
5248	"Barron, WI Urban Cluster"	C	4953760	49729	1.913	0.019	45.402159	-91.852835
5275	"Barrow, AK Urban Cluster"	C	2059165	484427	0.795	0.187	71.293793	-156.762893
5302	"Barstow, CA Urban Cluster"	C	31972225	0	12.345	0	34.888025	-117.038426
5329	"Bartlesville, OK Urban Cluster"	C	63449863	32200	24.498	0.012	36.745387	-95.956299
5356	"Bartlett, TX Urban Cluster"	C	2751301	1094	1.062	0	30.796199	-97.433073
5410	"Basalt--El Jebel, CO Urban Cluster"	C	10423355	23798	4.024	0.009	39.388924	-107.087515
5423	"Basehor, KS Urban Cluster"	C	6374747	102957	2.461	0.04	39.127539	-94.941756
5437	"Bastrop, LA Urban Cluster"	C	26101216	105190	10.078	0.041	32.776783	-91.913851
5464	"Bastrop, TX Urban Cluster"	C	29716705	338214	11.474	0.131	30.100757	-97.282416
5491	"Batavia, NY Urban Cluster"	C	20720562	211667	8	0.082	43.002665	-78.177406
5518	"Batesburg-Leesville, SC Urban Cluster"	C	14966941	127564	5.779	0.049	33.908055	-81.510262
5545	"Batesville, AR Urban Cluster"	C	23856653	202487	9.211	0.078	35.7706	-91.633541
5572	"Batesville, IN Urban Cluster"	C	15594038	118684	6.021	0.046	39.297742	-85.19969
5599	"Batesville, MS Urban Cluster"	C	21345685	0	8.242	0	34.304037	-89.942143
5653	"Bath, NY Urban Cluster"	C	11094605	244884	4.284	0.095	42.34625	-77.31417
5680	"Baton Rouge, LA Urbanized Area"	U	950025654	11822768	366.807	4.565	30.427885	-91.038912
5707	"Battle Creek, MI Urbanized Area"	U	137389915	3529321	53.047	1.363	42.31374	-85.197926
5734	"Battlement Mesa, CO Urban Cluster"	C	7577730	907	2.926	0	39.453934	-108.05174
5761	"Battle Mountain, NV Urban Cluster"	C	5040053	0	1.946	0	40.638336	-116.946269
5788	"Baxley, GA Urban Cluster"	C	14617840	18385	5.644	0.007	31.771186	-82.346883
5815	"Baxter Springs, KS Urban Cluster"	C	11387150	0	4.397	0	37.021334	-94.737759
5842	"Bayard, NM Urban Cluster"	C	7006836	33900	2.705	0.013	32.764832	-108.140064
5869	"Bay City, MI Urbanized Area"	U	104452905	4164096	40.329	1.608	43.608621	-83.890506
5896	"Bay City, TX Urban Cluster"	C	24202462	25388	9.345	0.01	28.980702	-95.954928
5904	"Bayfield, CO Urban Cluster"	C	4726288	0	1.825	0	37.241913	-107.596729
5923	"Bay Minette, AL Urban Cluster"	C	14873412	139486	5.743	0.054	30.883529	-87.775532
5958	"Bealeton, VA Urban Cluster"	C	9543699	26766	3.685	0.01	38.567378	-77.786511
5977	"Beardstown, IL Urban Cluster"	C	7464879	212330	2.882	0.082	40.013699	-90.42372
6004	"Beatrice, NE Urban Cluster"	C	17392541	170156	6.715	0.066	40.267398	-96.743305
6031	"Beaufort--Port Royal, SC Urban Cluster"	C	118886073	13055726	45.902	5.041	32.421911	-80.716405
6058	"Beaumont, TX Urbanized Area"	U	237466700	2860820	91.686	1.105	30.11918	-94.127119
6076	"Beaver, UT Urban Cluster"	C	5330850	0	2.058	0	38.278832	-112.636072
6085	"Beaver Dam, KY Urban Cluster"	C	10818669	38214	4.177	0.015	37.398446	-86.874001
6112	"Beaver Dam, WI Urban Cluster"	C	20422927	72820	7.885	0.028	43.465787	-88.83322
6128	"Becker, MN Urban Cluster"	C	5040998	4722	1.946	0.002	45.40383	-93.874419
6139	"Beckley, WV Urbanized Area"	U	157923854	720319	60.975	0.278	37.789184	-81.229955
6166	"Bedford, IN Urban Cluster"	C	30403132	2314	11.739	0.001	38.856653	-86.501238
6186	"Bedford, NY Urban Cluster"	C	10158156	141660	3.922	0.055	41.175921	-73.651332
6193	"Bedford, PA Urban Cluster"	C	8500432	207474	3.282	0.08	40.024894	-78.505088
6220	"Bedford, VA Urban Cluster"	C	17379779	29441	6.71	0.011	37.338355	-79.525928
6247	"Beebe, AR Urban Cluster"	C	11383061	0	4.395	0	35.069171	-91.893047
6261	"Beecher, IL Urban Cluster"	C	5219768	0	2.015	0	41.351042	-87.620473
6274	"Beeville, TX Urban Cluster"	C	31496829	0	12.161	0	28.389755	-97.732663
6301	"Belding, MI Urban Cluster"	C	12339184	468185	4.764	0.181	43.096485	-85.233029
6335	"Belfair, WA Urban Cluster"	C	7746281	1964	2.991	0.001	47.448543	-122.857433
6355	"Belfast, ME Urban Cluster"	C	6847382	417657	2.644	0.161	44.423628	-69.005594
6382	"Belgrade, MT Urban Cluster"	C	26874272	116430	10.376	0.045	45.7825	-111.185972
6436	"Bellefontaine, OH Urban Cluster"	C	14009064	0	5.409	0	40.359115	-83.752855
6463	"Bellefonte, PA Urban Cluster"	C	24771908	0	9.564	0	40.902511	-77.69529
6490	"Belle Fourche, SD Urban Cluster"	C	6849807	0	2.645	0	44.664939	-103.85023
6517	"Belle Glade, FL Urban Cluster"	C	21481645	27832	8.294	0.011	26.684083	-80.678914
6571	"Belle Plaine, MN Urban Cluster"	C	6733077	0	2.6	0	44.620047	-93.7646
6598	"Bellevue, IA Urban Cluster"	C	4191171	0	1.618	0	42.26479	-90.431551
6625	"Bellevue, OH Urban Cluster"	C	13734172	301671	5.303	0.116	41.277074	-82.84458
6652	"Bellingham, WA Urbanized Area"	U	124675581	9131271	48.138	3.526	48.77284	-122.476127
6679	"Bellows Falls, VT--NH Urban Cluster"	C	10156261	444621	3.921	0.172	43.123515	-72.446683
6692	"Bells, TN Urban Cluster"	C	10556537	16845	4.076	0.007	35.735994	-89.084896
6706	"Bellville, TX Urban Cluster"	C	5923110	25123	2.287	0.01	29.946233	-96.260553
6733	"Beloit, KS Urban Cluster"	C	4664411	0	1.801	0	39.461193	-98.105959
6760	"Beloit, WI--IL Urbanized Area"	U	88955120	2354010	34.346	0.909	42.509483	-89.026108
6770	"Belterra, TX Urban Cluster"	C	9094836	0	3.512	0	30.186319	-98.001924
6779	"Belton, SC Urban Cluster"	C	13901762	44990	5.368	0.017	34.528131	-82.498225
6787	"Belvidere, NJ--PA Urban Cluster"	C	5818444	54594	2.247	0.021	40.825338	-75.071549
6814	"Belzoni, MS Urban Cluster"	C	5960797	0	2.301	0	33.181941	-90.490257
6841	"Bemidji, MN Urban Cluster"	C	28996833	44386	11.196	0.017	47.480112	-94.883524
6868	"Bend, OR Urbanized Area"	U	102852316	560560	39.712	0.216	44.04927	-121.312835
6895	"Bennettsville, SC Urban Cluster"	C	21712831	1278568	8.383	0.494	34.628218	-79.685958
6922	"Bennington, VT Urban Cluster"	C	19779400	264701	7.637	0.102	42.892667	-73.202052
6949	"Benson, AZ Urban Cluster"	C	6490462	4137	2.506	0.002	31.961786	-110.294175
6976	"Benson, MN Urban Cluster"	C	4514307	706	1.743	0	45.316565	-95.602636
7003	"Benson, NC Urban Cluster"	C	6593115	11841	2.546	0.005	35.383812	-78.546691
7030	"Benton, IL Urban Cluster"	C	11051568	34232	4.267	0.013	37.999962	-88.918322
7057	"Benton, KY Urban Cluster"	C	11922084	36050	4.603	0.014	36.851835	-88.359536
7084	"Benton, LA Urban Cluster"	C	11685872	791125	4.512	0.305	32.657085	-93.712465
7111	"Benton City, WA Urban Cluster"	C	6287387	66332	2.428	0.026	46.277732	-119.487393
7138	"Benton Harbor--St. Joseph--Fair Plain, MI Urbanized Area"	U	120880366	2570945	46.672	0.993	42.068719	-86.470022
7165	"Berea, KY Urban Cluster"	C	34224813	146780	13.214	0.057	37.583562	-84.293019
7192	"Berlin, NH Urban Cluster"	C	14137471	519206	5.459	0.2	44.4618	-71.173026
7219	"Berlin, WI Urban Cluster"	C	6026713	14520	2.327	0.006	43.971548	-88.945505
7246	"Berne, IN Urban Cluster"	C	11776548	411956	4.547	0.159	40.60586	-84.943937
7273	"Berrien Springs, MI Urban Cluster"	C	12849739	524300	4.961	0.202	41.950895	-86.340788
7300	"Berryville, AR Urban Cluster"	C	10340868	0	3.993	0	36.370618	-93.565676
7327	"Berryville, VA Urban Cluster"	C	5108955	1608	1.973	0.001	39.153421	-77.980386
7354	"Bethany, MO Urban Cluster"	C	3968748	1084	1.532	0	40.265875	-94.035182
7381	"Bethel, AK Urban Cluster"	C	6273317	149372	2.422	0.058	60.79492	-161.782459
7408	"Bethel, OH Urban Cluster"	C	4204131	4856	1.623	0.002	38.964135	-84.083101
7462	"Beulah, ND Urban Cluster"	C	3579631	533	1.382	0	47.265005	-101.781735
7489	"Bicknell, IN Urban Cluster"	C	4385579	0	1.693	0	38.776776	-87.305074
7508	"Big Bear City, CA Urban Cluster"	C	41825231	552543	16.149	0.213	34.246421	-116.879711
7543	"Big Lake, TX Urban Cluster"	C	2756021	0	1.064	0	31.19452	-101.459125
7597	"Big Pine Key, FL Urban Cluster"	C	19738084	3771218	7.621	1.456	24.665134	-81.415457
7624	"Big Rapids, MI Urban Cluster"	C	24130980	170777	9.317	0.066	43.686859	-85.473293
7651	"Big Spring, TX Urban Cluster"	C	38165365	67731	14.736	0.026	32.244366	-101.470756
7678	"Big Stone Gap, VA Urban Cluster"	C	16108235	243076	6.219	0.094	36.872903	-82.760597
